g,fitted_C1,lower_C1,upper_C1,fitted_C2,lower_C2,upper_C2,fitted_C3,lower_C3,upper_C3,pinn_C1,pinn_C2,pinn_C3
1.25,0.3120460533795886,0.3137766138833624,0.3137766498713073,0.12896644622564127,0.0361984353779881,0.0366719377454713,0.06769025646784894,0.1438590467639765,0.1444637362303165,0.3081594004603987,0.21217559606941838,0.0005678480984218529
1.3,0.3149849265737449,0.3168807008394648,0.3168807310336923,0.1290354105451702,0.0357233057736599,0.0361534564078555,0.0677165059498371,0.1433601848840786,0.1439011989351716,0.3114985432369431,0.21030839608837773,0.0005727245605083408
1.35,0.3177316166550412,0.3197702978006462,0.3197703233036296,0.12902031695771746,0.0352866678767908,0.0356789131142361,0.0676729218024041,0.1428642480280913,0.1433507834690065,0.3146105037709698,0.20850949235224778,0.00057725506536555
1.4,0.320314441251374,0.3224668530423707,0.3224668747170854,0.12894340701905577,0.0348840390807255,0.0352429672817328,0.06757863605968603,0.1423743736800351,0.1428139726960625,0.317520446666118,0.2067761029534179,0.000581480648609397
1.45,0.32275557522740655,0.3249890462497696,0.3249890647777162,0.12882169430439452,0.0345116017662635,0.0348411047435674,0.06744826951988797,0.1418928067663531,0.1422917085962505,0.3202499039181808,0.20510531207686336,0.000585435934488168
1.5,0.32506383190823,0.3273532218969442,0.327353237820762,0.12866082065499668,0.0341660856242981,0.0344694850554946,0.06728663028697225,0.1414211236255535,0.1417845310445978,0.32281725945165024,0.2034942741743313,0.0005891500724395657
1.55,0.32724626882159297,0.3295737435856058,0.3295737573407045,0.12846493358880015,0.0338446738206193,0.0341248211672111,0.06709723701001594,0.1409603981829523,0.1412926817266014,0.3252381980370699,0.2019403187697057,0.000592647582249099
1.6,0.3293099434952437,0.3316632856690108,0.3316632976072844,0.12823818062374262,0.0335449276251248,0.0338042838033063,0.06688360833809605,0.140511326127973,0.1408161822564028,0.3275261135898397,0.2004409917028031,0.0005959491071719778
1.65,0.3312619134569308,0.3336330747502171,0.3336330851579894,0.1279847092777619,0.0332647254508699,0.033505424871221,0.06664926292028968,0.1400743183058456,0.1403548930944721,0.32969247375017485,0.19899405802142708,0.0005990720755288591
1.7,0.3331092362344027,0.33549309083803,0.3354930999497541,0.12770866706879583,0.0330022132217786,0.0332261156617686,0.06639771940567386,0.1396495713361503,0.1399085580962269,0.33174713971968844,0.19759748373432945,0.0006020312732719585
1.75,0.3348589693554078,0.3372522358207677,0.3372522438295712,0.12741420151478214,0.0327557637099045,0.0329644966252376,0.06613249644332568,0.1392371212771878,0.139476838252632,0.3336986422063262,0.19624940775724087,0.0006048393320946754
1.8,0.3365181703476947,0.33891847529862,0.3389184823644861,0.12710546013365862,0.0325239430223285,0.0327189362947105,0.06585711268232217,0.1388368845584374,0.1390593372639338,0.33555441582065176,0.19494811117006447,0.0006075071394024578
1.85,0.33809389673901163,0.3404989585709558,0.3404989648271163,0.12678659044336305,0.0323054828241504,0.0324879974750149,0.06557508677174037,0.1384486893078918,0.1386556209164662,0.3373209953160268,0.19369198796454168,0.0006100441776877502
1.9,0.3395932060571073,0.3420001206116524,0.342000126169619,0.12646173996183324,0.0320992571912114,0.0322704092475165,0.06528993736065737,0.1380722993860059,0.1382652317409038,0.33900417769434565,0.1924795194745866,0.0006124588015227338
1.95,0.34102315582973003,0.3434277691146389,0.3434277740681888,0.12613505620700696,0.0319042632238769,0.0320650436692086,0.06500518309815019,0.1377074328433737,0.1378877000640109,0.34060915446997914,0.19130925338768687,0.0006147584605545361
2.0,0.34239072397658443,0.3447871591026175,0.3447871635309699,0.125810608381448,0.0317196047290832,0.0318708962588285,0.06472427531743447,0.1373537761227941,0.13752255230121,0.34214061837570486,0.19017978743499894,0.0006169498766553018
2.045,0.3435722504470386,0.3460830571265799,0.3460830610969427,0.1255221922929709,0.0315444784238564,0.0316870695992991,0.06447614869936764,0.1370109949536541,0.1371693171289618,0.3434596265357189,0.1891970240227001,0.0006188346827411011
2.1,0.34495565661016786,0.3473197967140041,0.3473198002836279,0.12517390500433354,0.0313781622187414,0.0315127594689386,0.06417852800839564,0.1366787427193062,0.1368275300286132,0.34499977817699656,0.18803782884262613,0.0006210320309583061
2.15,0.34615784527029386,0.3485013264281292,0.3485013296459718,0.12486080447124469,0.0312200052245011,0.0313472430689656,0.06391286949006418,0.1363566668529606,0.1364967365792754,0.34633504717957525,0.18702269189853774,0.0006229336739682917
2.2,0.3473096522262336,0.3496312516632551,0.3496312545713377,0.12455056329443816,0.0310694191963076,0.0311898689941361,0.06365140794445887,0.1360444136948307,0.1361764947870985,0.34761204403611085,0.1860430584320073,0.0006247490285169834
2.25,0.34841343002818026,0.3507128711091912,0.3507128737437088,0.12424270041339153,0.0309258711796622,0.0310400486401258,0.06339368353303042,0.1357416321665369,0.1358663766755617,0.3488339379618655,0.18509766099242833,0.0006264827217719361
2.295,0.3493677095060028,0.3517492086622328,0.3517492110544674,0.12396725966680244,0.0307888771665421,0.0308972488246112,0.06316454675590498,0.1354479765105225,0.1355659693091347,0.34988899220015923,0.18427504437061032,0.0006279768441559762
2.35,0.3504863083708668,0.3527430414329835,0.352743043610058,0.12363218529648805,0.030657996603955,0.0307609854222021,0.06288760675850666,0.1351631083058288,0.135274875384235,0.35112414380638024,0.18330460987314007,0.0006297223868569027
