# Source: arXiv:2203.09556 ancillary file Conformal_Data.nb.
# Extracted via data/extract_OPE_bounds.py.
n_value,g,C2_lower,C2_upper
2,1.3,0.03572330577365998,0.03615345640785554
2,1.35,0.035286667876790856,0.035678913114236155
2,1.4,0.03488403908072551,0.0352429672817328
2,1.45,0.03451160176626359,0.03484110474356743
2,1.5,0.03416608562429819,0.034469485055494624
2,1.55,0.033844673820619314,0.03412482116721115
2,1.6,0.03354492762512485,0.03380428380330637
2,1.65,0.033264725450869954,0.03350542487122105
2,1.7,0.033002213221778695,0.033226115661768696
2,1.75,0.032755763709904545,0.03296449662523765
2,1.8,0.03252394302232852,0.03271893629471057
2,1.85,0.03230548282415043,0.032487997475014976
2,1.9,0.032099257191211455,0.03227040924751655
2,1.95,0.03190426322387693,0.032065043669208655
2,2.0,0.03171960472908328,0.03187089625882859
2,2.045,0.031544478423856485,0.03168706959929911
2,2.1,0.031378162218741484,0.03151275946893869
2,2.15,0.031220005224501145,0.03134724306896569
2,2.2,0.031069419196307613,0.03118986899413617
2,2.25,0.030925871179662275,0.031040048640125825
2,2.295,0.030788877166542182,0.030897248824611263
2,2.35,0.03065799660395507,0.03076098542220216
2,2.4,0.030532827645543215,0.03063081787161523
2,2.45,0.030413002924030635,0.030506344324498884
2,2.5,0.03029818601398494,0.03038719756996163
2,2.545,0.030188068192264318,0.03027304133531404
2,2.6,0.0300823656538856,0.030163567108451653
2,2.65,0.02998081704387337,0.030058491329982492
2,2.7,0.029883181297299805,0.029957552938721797
2,2.75,0.029789235657788942,0.02986051113675027
2,2.8,0.029698774014580678,0.029767143503759967
2,2.85,0.029611605371671023,0.029677244275087108
2,2.9,0.029527552477441047,0.029590622806690378
2,2.95,0.029446450613598185,0.02950710220646217
2,3.0,0.029368146503640034,0.029426518124653224
2,3.05,0.029292497338210023,0.02934871766084822
2,3.1,0.029219369929386094,0.029273558419776607
2,3.15,0.02914863989206217,0.02920090760324491
2,3.2,0.029080190914404922,0.029130641213604768
2,3.25,0.02901391424921805,0.029062643456263016
2,3.3,0.028949703888105964,0.02899680104476405
2,3.35,0.028887470289506154,0.028933019741577335
2,3.4,0.028827121058030473,0.02887120116920646
2,3.45,0.028768571788418865,0.028811255901119763
2,3.5,0.028711737249465203,0.028753092936324127
2,3.55,0.028656551774309185,0.028696643993176972
2,3.6,0.028602939738683046,0.028641828791280525
2,3.65,0.02855083684779514,0.028588579348939207
2,3.7,0.028500177634909144,0.028536826676272848
2,3.75,0.028450903838126054,0.028486509443829543
2,3.8,0.028402960936472856,0.028437570257579932
2,3.85,0.028356290912801976,0.028389948266342765
2,3.9,0.02831084784453643,0.028343595040393865
2,3.95,0.028266582491632834,0.02829845898778991
2,4.0,0.028223452296113918,0.02825449570905998
3,0.01,0.0,0.20021421634804634
3,0.02,0.0,0.15688222924364448
3,0.03,0.020790322029447583,0.134123328413573
3,0.04,0.05112080457819284,0.12629327053784709
3,0.05,0.06528438239310587,0.12281793557942709
3,0.06,0.07311190291398659,0.12108815937498987
3,0.07,0.07797246508337989,0.12020990602493765
3,0.08,0.08127400253256187,0.11980962499640989
3,0.09,0.08368971707155072,0.11970867312973521
3,0.1,0.08557472359515447,0.11981268178014438
3,0.11,0.08713098354955759,0.12006773835050619
3,0.12,0.08848042255029982,0.12044094122408572
3,0.13,0.08970030869620847,0.12091097453598822
3,0.14,0.09084160583687549,0.12146320447415009
3,0.15,0.09193904954575322,0.12208697511933722
3,0.16,0.09301694294791858,0.12277404298885977
3,0.17,0.09409262195575234,0.12345897035371682
3,0.18,0.0951785947034819,0.12295626698065595
3,0.19,0.09628389826104392,0.12278930775664693
3,0.2,0.09741497870298027,0.12289716864550002
3,0.21,0.09857627362876492,0.12323127830524791
3,0.22,0.09977060558104035,0.12375203485461606
3,0.23,0.10099945412793915,0.12431519428934655
3,0.24,0.10226315017385686,0.12478360735188254
3,0.25,0.1035610211991151,0.12537067406472677
3,0.3,0.11048264238707106,0.12960487243640895
3,0.35,0.11775672110045368,0.13455123620955464
3,0.4,0.12479860040290824,0.13911496892846947
3,0.45,0.13120818803614384,0.14279050969428778
3,0.5,0.13618110312976267,0.14548199030839926
3,0.55,0.1398813114302101,0.1473068258063799
3,0.6,0.14246840497018667,0.14844687463177597
3,0.65,0.14445667179898808,0.14907406129586964
3,0.7,0.1457391473376386,0.14935216495140094
3,0.75,0.14647058878074515,0.1493502358684856
3,0.8,0.14681471105524121,0.14915000007454204
3,0.85,0.14688712610232163,0.14881109360365755
3,0.9,0.146769177089484,0.1483767573810132
3,0.95,0.14651827365529427,0.14787834146244103
3,1.0,0.14617520025605624,0.147338600333144
3,1.05,0.14576915418723932,0.1467740658395064
3,1.1,0.14532119214717326,0.14619674846798578
3,1.145,0.14484659433154476,0.1456153584009226
3,1.2,0.14435649933955824,0.14503618541596172
3,1.25,0.14385904676397654,0.14446373623031653
3,1.3,0.14336018488407865,0.14390119893517164
3,1.35,0.1428642480280913,0.14335078346900654
3,1.4,0.14237437368003514,0.14281397269606252
3,1.45,0.14189280676635313,0.1422917085962505
3,1.5,0.1414211236255535,0.14178453104459784
3,1.55,0.14096039818295233,0.14129268172660145
3,1.6,0.140511326127973,0.14081618225640288
3,1.65,0.14007431830584566,0.14035489309447213
3,1.7,0.1396495713361503,0.1399085580962269
3,1.75,0.13923712127718785,0.13947683825263202
3,1.8,0.13883688455843748,0.1390593372639338
3,1.85,0.1384486893078918,0.13865562091646627
3,1.9,0.13807229938600593,0.13826523174090388
3,1.95,0.1377074328433737,0.1378877000640109
3,2.0,0.13735377612279412,0.13752255230121002
3,2.045,0.13701099495365415,0.1371693171289618
3,2.1,0.13667874271930625,0.1368275300286132
3,2.15,0.1363566668529606,0.13649673657927547
3,2.2,0.13604441369483075,0.1361764947870985
3,2.25,0.13574163216653695,0.13586637667556178
3,2.295,0.13544797651052257,0.13556596930913475
3,2.35,0.13516310830582884,0.13527487538423508
3,2.4,0.1348866979025964,0.13499271347052874
3,2.45,0.13461842549789074,0.13471911809716478
3,2.5,0.13435798171002858,0.13445373948798112
3,2.545,0.13410506803566646,0.1341962433110067
3,2.6,0.13385939702973215,0.13394631025991233
3,2.65,0.13362069234430565,0.13370363558285547
3,2.7,0.1333886886270699,0.13346792854435466
3,2.75,0.13316313139734084,0.13323891192918735
3,2.8,0.13294377675574895,0.1330163214295918
3,2.85,0.1327303910981748,0.13279990508427125
3,2.9,0.1325227507979298,0.13258942272524693
3,2.95,0.13232064186505693,0.13238464541889358
3,3.0,0.13212385957649328,0.1321853549276984
3,3.05,0.13193220811103196,0.13199134318310204
3,3.1,0.13174550014588024,0.1318024117465433
3,3.15,0.13156355651879673,0.13161837135029483
3,3.2,0.13138620587150684,0.1314390414471132
