# Source: arXiv:2203.09556 ancillary file Conformal_Data.nb.
# Extracted via data/extract_conformal_data.py.
n_value,g,Delta
3,1.2,3.318405927361818
3,1.25,3.3386784219170917
3,1.3,3.357767838344275
3,1.35,3.375776639699903
3,1.4,3.392795504744771
3,1.45,3.4089050212219862
3,1.5,3.424177087415581
3,1.55,3.4386760803415912
3,1.6,3.4524598357351794
3,1.65,3.465580475098035
3,1.7,3.4780851075738375
3,1.75,3.4900164286927193
3,1.8,3.501413233613207
3,1.85,3.5123108590623313
3,1.9,3.5227415654906844
3,1.95,3.5327348688420135
3,2.0,3.542317829654874
3,2.05,3.5515153058684517
3,2.1,3.560350174622064
3,2.15,3.5688435274600967
3,2.2,3.5770148426410633
3,2.25,3.5848821376637865
3,2.3,3.592462104642845
3,2.35,3.5997702307673514
3,2.4,3.606820905750548
3,2.45,3.6136275178754644
3,2.5,3.6202025400840587
3,2.55,3.62655760724912
3,2.6,3.6327035857102987
3,2.65,3.638650635956808
3,2.7,3.6444082692423834
3,2.75,3.6499853987983215
3,2.8,3.655390386269081
3,2.85,3.660631083852028
3,2.9,3.6657148726228077
3,2.95,3.6706486974373598
3,3.0,3.675439098766369
3,3.05,3.6800922417675594
3,3.1,3.6846139428856057
3,3.15,3.6890096942070705
3,3.2,3.693284685800371
3,3.25,3.6974438262285703
3,3.3,3.7014917614087155
3,3.35,3.705432891971555
3,3.4,3.7092713892593663
3,3.45,3.7130112100852988
3,3.5,3.7166561103649682
3,3.55,3.7202096577198382
3,3.6,3.7236752431419617
3,3.65,3.727056091800835
3,3.7,3.730355273065237
3,3.75,3.7335757098059226
3,3.8,3.7367201870387867
3,3.85,3.739791359962505
3,3.9,3.7427917614396637
3,3.95,3.7457238089672114
3,4.0,3.7485898111696248
4,0.0,3.0
4,0.01,3.0002132006213222
4,0.02,3.0008528011286573
4,0.03,3.001918798137536
4,0.04,3.0034111889027617
4,0.05,3.005329977644364
4,0.05,3.005329977644364
4,0.06,3.007675187847526
4,0.07,3.0104468828906503
4,0.08,3.0136451967635773
4,0.09,3.0172703755198196
4,0.1,3.021322828671024
4,0.1,3.021322828671024
4,0.11,3.0258031882360577
4,0.12,3.030712371849011
4,0.13,3.0360516454012614
4,0.14,3.041822680249977
4,0.15,3.0480276000873117
4,0.15,3.0480276000873117
4,0.16,3.0546690130730254
4,0.17,3.06175002567795
4,0.18,3.0692742357315055
4,0.19,3.077245703278587
4,0.2,3.0856688989142573
4,0.2,3.0856688989142573
4,0.21,3.09454863019404
4,0.22,3.10388994746315
4,0.23,3.113698030992653
4,0.24,3.1239780616645603
4,0.25,3.134735077641309
4,0.25,3.134735077641309
4,0.3,3.195821107171638
4,0.35,3.2692173712919947
4,0.4,3.354401576380875
4,0.45,3.449647591835219
4,0.5,3.5519853401152517
4,0.55,3.657641910084206
4,0.6,3.762820691515589
4,0.65,3.8644444774243896
4,0.7,3.9605343927945245
4,0.75,4.05016697057863
4,0.8,4.133185000729194
4,0.85,4.209874064304141
4,0.9,4.280719968210877
4,0.95,4.3462647948564594
4,1.0,4.407035545356356
4,1.05,4.463515029257229
4,1.1,4.5161338818482
4,1.15,4.565271880556139
4,1.2,4.611262729531362
4,1.25,4.654399695609383
4,1.3,4.694941029738627
4,1.35,4.733114805079149
4,1.4,4.7691230971171965
4,1.45,4.803145544992141
4,1.5,4.835342369786571
4,1.55,4.865856930566713
4,1.6,4.894817892260633
4,1.65,4.922341069325685
4,1.7,4.948530998902377
4,1.75,4.9734822879694125
4,1.8,4.997280771208865
4,1.85,5.020004509816681
4,1.9,5.041724656187958
4,1.95,5.062506205079943
4,2.0,5.082408648332457
4,2.05,5.101486547353891
4,2.1,5.119790035235485
4,2.15,5.137365258435336
